time	sig 0	sig 1
  1.070	 -0.015	 -0.075
  1.078	 -0.075	 -0.115
  1.086	 -0.115	 -0.125
  1.094	 -0.135	 -0.135
  1.102	 -0.135	 -0.135
  1.109	 -0.145	 -0.135
  1.117	 -0.155	 -0.125
  1.125	 -0.135	 -0.135
  1.133	 -0.135	 -0.145
  1.141	 -0.145	 -0.105
  1.148	 -0.185	 -0.065
  1.156	 -0.035	 -0.005
  1.164	  0.445	 -0.355
  1.172	  1.485	 -0.795
  1.180	  1.815	 -1.335
  1.188	 -0.095	 -1.015
  1.195	 -0.965	 -0.405
  1.203	 -0.615	 -0.085
  1.211	 -0.265	 -0.005
  1.219	 -0.165	 -0.025
  1.227	 -0.165	 -0.035
  1.234	 -0.165	 -0.045
  1.242	 -0.155	 -0.025
  1.250	 -0.155	 -0.015
  1.258	 -0.135	 -0.025
  1.266	 -0.145	 -0.025
  1.273	 -0.135	 -0.005
  1.281	 -0.135	  0.005
  1.289	 -0.135	  0.005
  1.297	 -0.115	  0.015
  1.305	 -0.115	  0.035
  1.312	 -0.105	  0.065
  1.320	 -0.105	  0.075
  1.328	 -0.095	  0.085
  1.336	 -0.065	  0.095
  1.344	 -0.075	  0.125
  1.352	 -0.065	  0.145
  1.359	 -0.065	  0.165
  1.367	 -0.055	  0.155
  1.375	 -0.075	  0.175
  1.383	 -0.095	  0.175
  1.391	 -0.105	  0.145
  1.398	 -0.125	  0.135
  1.406	 -0.135	  0.125
  1.414	 -0.155	  0.115
  1.422	 -0.145	  0.085
  1.430	 -0.135	  0.085
  1.438	 -0.085	  0.055
  1.445	 -0.065	  0.025
  1.453	 -0.055	 -0.025
  1.461	 -0.065	 -0.035
  1.469	 -0.075	 -0.075
  1.477	 -0.085	 -0.075
  1.484	 -0.105	 -0.095
  1.492	 -0.095	 -0.075
  1.500	 -0.095	 -0.085
  1.508	 -0.085	 -0.075
  1.516	 -0.085	 -0.085
  1.523	 -0.075	 -0.075
  1.531	 -0.075	 -0.075
  1.539	 -0.095	 -0.065
  1.547	 -0.095	 -0.075
  1.555	 -0.075	 -0.075
  1.562	 -0.075	 -0.085
  1.570	 -0.075	 -0.085
  1.578	 -0.085	 -0.095
  1.586	 -0.085	 -0.085
  1.594	 -0.105	 -0.095
  1.602	 -0.095	 -0.105
  1.609	 -0.085	 -0.105
  1.617	 -0.115	 -0.085
  1.625	 -0.065	 -0.035
  1.633	 -0.045	 -0.025
  1.641	 -0.025	 -0.015
  1.648	  0.025	 -0.035
  1.656	  0.015	 -0.065
  1.664	  0.065	 -0.055
  1.672	  0.045	 -0.045
  1.680	  0.065	 -0.105
  1.688	 -0.025	 -0.115
  1.695	 -0.055	 -0.135
  1.703	 -0.115	 -0.155
  1.711	 -0.155	 -0.165
  1.719	 -0.175	 -0.155
  1.727	 -0.145	 -0.175
  1.734	 -0.185	 -0.165
  1.742	 -0.175	 -0.175
  1.750	 -0.165	 -0.175
  1.758	 -0.155	 -0.175
  1.766	 -0.185	 -0.145
  1.773	 -0.185	 -0.105
  1.781	  0.055	 -0.155
  1.789	  0.875	 -0.585
  1.797	  1.955	 -1.175
  1.805	  0.875	 -1.285
  1.812	 -0.755	 -0.715
  1.820	 -0.835	 -0.195
  1.828	 -0.395	 -0.065
  1.836	 -0.195	 -0.065
  1.844	 -0.175	 -0.075
  1.852	 -0.175	 -0.075
  1.859	 -0.185	 -0.085
  1.867	 -0.165	 -0.085
  1.875	 -0.165	 -0.065
  1.883	 -0.185	 -0.065
  1.891	 -0.165	 -0.055
  1.898	 -0.145	 -0.045
  1.906	 -0.165	 -0.025
  1.914	 -0.155	 -0.025
  1.922	 -0.125	 -0.015
  1.930	 -0.115	 -0.005
  1.938	 -0.115	  0.015
  1.945	 -0.115	  0.025
  1.953	 -0.105	  0.055
  1.961	 -0.085	  0.065
  1.969	 -0.095	  0.085
  1.977	 -0.095	  0.105
  1.984	 -0.085	  0.115
  1.992	 -0.075	  0.125
  2.000	 -0.085	  0.135
  2.008	 -0.115	  0.115
  2.016	 -0.125	  0.085
  2.023	 -0.145	  0.085
  2.031	 -0.165	  0.055
  2.039	 -0.165	  0.045
  2.047	 -0.145	  0.025
  2.055	 -0.105	  0.025
  2.062	 -0.085	  0.005
  2.070	 -0.075	 -0.035
  2.078	 -0.075	 -0.075
  2.086	 -0.085	 -0.095
  2.094	 -0.115	 -0.095
  2.102	 -0.115	 -0.115
  2.109	 -0.115	 -0.125
  2.117	 -0.095	 -0.125
  2.125	 -0.095	 -0.105
  2.133	 -0.115	 -0.115
  2.141	 -0.095	 -0.105
  2.148	 -0.095	 -0.115
  2.156	 -0.105	 -0.105
  2.164	 -0.085	 -0.115
  2.172	 -0.095	 -0.105
  2.180	 -0.085	 -0.115
  2.188	 -0.085	 -0.115
  2.195	 -0.095	 -0.105
  2.203	 -0.085	 -0.105
  2.211	 -0.095	 -0.115
  2.219	 -0.095	 -0.115
  2.227	 -0.105	 -0.135
  2.234	 -0.105	 -0.135
  2.242	 -0.105	 -0.135
  2.250	 -0.105	 -0.125
  2.258	 -0.105	 -0.105
  2.266	 -0.055	 -0.075
  2.273	 -0.045	 -0.055
  2.281	 -0.015	 -0.055
  2.289	  0.015	 -0.065
  2.297	  0.025	 -0.085
  2.305	  0.045	 -0.075
  2.312	  0.075	 -0.075
  2.320	  0.055	 -0.135
  2.328	 -0.055	 -0.125
  2.336	 -0.065	 -0.135
  2.344	 -0.105	 -0.185
  2.352	 -0.145	 -0.185
  2.359	 -0.165	 -0.195
  2.367	 -0.155	 -0.175
  2.375	 -0.165	 -0.185
  2.383	 -0.165	 -0.185
  2.391	 -0.165	 -0.185
  2.398	 -0.135	 -0.155
  2.406	 -0.215	 -0.125
  2.414	 -0.105	 -0.055
  2.422	  0.375	 -0.315
  2.430	  1.365	 -0.715
  2.438	  1.885	 -1.335
  2.445	 -0.015	 -1.055
  2.453	 -1.005	 -0.445
  2.461	 -0.705	 -0.135
  2.469	 -0.305	 -0.055
  2.477	 -0.195	 -0.075
  2.484	 -0.175	 -0.085
  2.492	 -0.175	 -0.085
  2.500	 -0.175	 -0.065
  2.508	 -0.175	 -0.075
  2.516	 -0.165	 -0.065
  2.523	 -0.155	 -0.055
  2.531	 -0.155	 -0.045
  2.539	 -0.155	 -0.045
  2.547	 -0.145	 -0.045
  2.555	 -0.125	 -0.035
  2.562	 -0.105	 -0.025
  2.570	 -0.125	 -0.015
  2.578	 -0.125	 -0.005
  2.586	 -0.105	  0.005
  2.594	 -0.105	  0.025
  2.602	 -0.085	  0.055
  2.609	 -0.075	  0.055
  2.617	 -0.065	  0.075
  2.625	 -0.095	  0.085
  2.633	 -0.105	  0.095
  2.641	 -0.115	  0.095
  2.648	 -0.135	  0.085
  2.656	 -0.145	  0.065
  2.664	 -0.185	  0.045
  2.672	 -0.175	  0.025
  2.680	 -0.175	  0.015
  2.688	 -0.155	  0.005
  2.695	 -0.115	  0.015
  2.703	 -0.085	 -0.015
  2.711	 -0.065	 -0.035
  2.719	 -0.075	 -0.075
  2.727	 -0.085	 -0.095
  2.734	 -0.095	 -0.115
  2.742	 -0.115	 -0.115
  2.750	 -0.105	 -0.115
  2.758	 -0.095	 -0.115
  2.766	 -0.095	 -0.125
  2.773	 -0.095	 -0.115
  2.781	 -0.105	 -0.115
  2.789	 -0.095	 -0.105
  2.797	 -0.065	 -0.105
  2.805	 -0.085	 -0.105
  2.812	 -0.095	 -0.095
  2.820	 -0.075	 -0.115
  2.828	 -0.075	 -0.115
  2.836	 -0.075	 -0.125
  2.844	 -0.105	 -0.115
  2.852	 -0.105	 -0.125
  2.859	 -0.105	 -0.125
  2.867	 -0.105	 -0.125
  2.875	 -0.105	 -0.125
  2.883	 -0.115	 -0.135
  2.891	 -0.125	 -0.125
  2.898	 -0.125	 -0.105
  2.906	 -0.085	 -0.075
  2.914	 -0.075	 -0.075
  2.922	 -0.055	 -0.055
  2.930	 -0.035	 -0.045
  2.938	 -0.015	 -0.035
  2.945	  0.035	 -0.075
  2.953	  0.045	 -0.065
  2.961	  0.085	 -0.095
  2.969	 -0.015	 -0.125
  2.977	 -0.075	 -0.135
  2.984	 -0.115	 -0.165
  2.992	 -0.155	 -0.165
  3.000	 -0.165	 -0.165
  3.008	 -0.175	 -0.165
  3.016	 -0.175	 -0.175
  3.023	 -0.175	 -0.155
  3.031	 -0.165	 -0.165
  3.039	 -0.175	 -0.165
  3.047	 -0.195	 -0.135
  3.055	 -0.185	 -0.065
  3.062	  0.155	 -0.155
  3.070	  1.065	 -0.635
  3.078	  1.805	 -1.245
  3.086	 -0.025	 -1.055
  3.094	 -1.065	 -0.505
  3.102	 -0.765	 -0.175
  3.109	 -0.335	 -0.085
  3.117	 -0.215	 -0.075
  3.125	 -0.195	 -0.075
  3.133	 -0.175	 -0.085
  3.141	 -0.185	 -0.095
  3.148	 -0.175	 -0.075
  3.156	 -0.185	 -0.065
  3.164	 -0.165	 -0.055
  3.172	 -0.175	 -0.045
  3.180	 -0.165	 -0.045
  3.188	 -0.135	 -0.035
  3.195	 -0.135	 -0.035
  3.203	 -0.155	 -0.015
  3.211	 -0.125	  0.005
  3.219	 -0.125	  0.005
  3.227	 -0.115	  0.025
  3.234	 -0.105	  0.055
  3.242	 -0.095	  0.085
  3.250	 -0.065	  0.085
  3.258	 -0.095	  0.095
  3.266	 -0.115	  0.105
  3.273	 -0.125	  0.115
  3.281	 -0.145	  0.085
  3.289	 -0.175	  0.075
  3.297	 -0.195	  0.045
  3.305	 -0.215	  0.045
  3.312	 -0.215	  0.015
  3.320	 -0.205	  0.015
  3.328	 -0.165	  0.005
  3.336	 -0.115	  0.015
  3.344	 -0.115	 -0.015
  3.352	 -0.095	 -0.035
  3.359	 -0.105	 -0.065
  3.367	 -0.115	 -0.075
  3.375	 -0.115	 -0.085
  3.383	 -0.135	 -0.105
  3.391	 -0.145	 -0.095
  3.398	 -0.125	 -0.095
  3.406	 -0.135	 -0.085
  3.414	 -0.115	 -0.085
  3.422	 -0.115	 -0.075
  3.430	 -0.095	 -0.075
  3.438	 -0.085	 -0.075
  3.445	 -0.105	 -0.085
  3.453	 -0.105	 -0.075
  3.461	 -0.095	 -0.075
  3.469	 -0.095	 -0.075
  3.477	 -0.095	 -0.085
  3.484	 -0.105	 -0.085
  3.492	 -0.115	 -0.085
  3.500	 -0.105	 -0.095
  3.508	 -0.115	 -0.105
  3.516	 -0.115	 -0.115
  3.523	 -0.135	 -0.105
  3.531	 -0.145	 -0.105
  3.539	 -0.135	 -0.075
  3.547	 -0.105	 -0.055
  3.555	 -0.075	 -0.035
  3.562	 -0.045	 -0.015
  3.570	 -0.045	 -0.025
  3.578	 -0.005	 -0.055
  3.586	  0.005	 -0.035
  3.594	  0.015	 -0.045
  3.602	  0.045	 -0.075
  3.609	 -0.015	 -0.125
  3.617	 -0.055	 -0.105
  3.625	 -0.115	 -0.135
  3.633	 -0.155	 -0.155
  3.641	 -0.185	 -0.165
  3.648	 -0.185	 -0.145
  3.656	 -0.195	 -0.145
  3.664	 -0.185	 -0.165
  3.672	 -0.185	 -0.145
  3.680	 -0.185	 -0.145
  3.688	 -0.175	 -0.095
  3.695	 -0.205	 -0.085
  3.703	  0.015	 -0.105
  3.711	  0.645	 -0.515
  3.719	  1.675	 -1.025
  3.727	  1.225	 -1.305
  3.734	 -0.565	 -0.715
  3.742	 -0.885	 -0.205
  3.750	 -0.495	 -0.015
  3.758	 -0.255	 -0.025
  3.766	 -0.185	 -0.045
  3.773	 -0.195	 -0.035
  3.781	 -0.185	 -0.025
  3.789	 -0.185	 -0.025
  3.797	 -0.175	 -0.035
  3.805	 -0.165	 -0.015
  3.812	 -0.155	 -0.015
  3.820	 -0.155	  0.005
  3.828	 -0.145	 -0.005
  3.836	 -0.145	  0.015
  3.844	 -0.145	  0.015
  3.852	 -0.135	  0.045
  3.859	 -0.125	  0.055
  3.867	 -0.115	  0.075
  3.875	 -0.105	  0.075
  3.883	 -0.105	  0.105
  3.891	 -0.105	  0.125
  3.898	 -0.095	  0.155
  3.906	 -0.085	  0.165
  3.914	 -0.095	  0.175
  3.922	 -0.095	  0.175
  3.930	 -0.115	  0.155
  3.938	 -0.135	  0.155
  3.945	 -0.145	  0.115
  3.953	 -0.165	  0.105
  3.961	 -0.165	  0.115
  3.969	 -0.145	  0.095
  3.977	 -0.145	  0.065
  3.984	 -0.115	  0.045
  3.992	 -0.095	  0.025
