time	sig 0	sig 1
  0.672	 -0.655	 -0.485
  0.680	 -0.635	 -0.485
  0.688	 -0.625	 -0.475
  0.695	 -0.625	 -0.465
  0.703	 -0.615	 -0.455
  0.711	 -0.605	 -0.445
  0.719	 -0.595	 -0.445
  0.727	 -0.585	 -0.435
  0.734	 -0.585	 -0.425
  0.742	 -0.575	 -0.415
  0.750	 -0.555	 -0.405
  0.758	 -0.555	 -0.395
  0.766	 -0.545	 -0.395
  0.773	 -0.535	 -0.395
  0.781	 -0.525	 -0.385
  0.789	 -0.515	 -0.375
  0.797	 -0.515	 -0.375
  0.805	 -0.505	 -0.365
  0.812	 -0.495	 -0.355
  0.820	 -0.485	 -0.345
  0.828	 -0.475	 -0.345
  0.836	 -0.465	 -0.335
  0.844	 -0.455	 -0.335
  0.852	 -0.445	 -0.325
  0.859	 -0.445	 -0.315
  0.867	 -0.425	 -0.315
  0.875	 -0.415	 -0.315
  0.883	 -0.415	 -0.295
  0.891	 -0.415	 -0.295
  0.898	 -0.395	 -0.285
  0.906	 -0.385	 -0.285
  0.914	 -0.375	 -0.275
  0.922	 -0.375	 -0.265
  0.930	 -0.375	 -0.265
  0.938	 -0.365	 -0.255
  0.945	 -0.355	 -0.245
  0.953	 -0.335	 -0.245
  0.961	 -0.315	 -0.225
  0.969	 -0.145	 -0.235
  0.977	  0.755	  0.765
  0.984	  0.685	  0.735
  0.992	  0.665	  0.715
  1.000	  0.665	  0.705
  1.008	  0.655	  0.705
  1.016	  0.635	  0.695
  1.023	  0.625	  0.675
  1.031	  0.615	  0.675
  1.039	  0.615	  0.665
  1.047	  0.595	  0.645
  1.055	  0.585	  0.645
  1.062	  0.565	  0.635
  1.070	  0.555	  0.625
  1.078	  0.535	  0.615
  1.086	  0.525	  0.605
  1.094	  0.515	  0.595
  1.102	  0.505	  0.585
  1.109	  0.495	  0.575
  1.117	  0.485	  0.565
  1.125	  0.475	  0.565
  1.133	  0.465	  0.555
  1.141	  0.445	  0.535
  1.148	  0.445	  0.535
  1.156	  0.425	  0.515
  1.164	  0.425	  0.515
  1.172	  0.405	  0.505
  1.180	  0.405	  0.495
  1.188	  0.395	  0.495
  1.195	  0.385	  0.485
  1.203	  0.375	  0.475
  1.211	  0.375	  0.465
  1.219	  0.365	  0.465
  1.227	  0.365	  0.455
  1.234	  0.355	  0.445
  1.242	  0.345	  0.445
  1.250	  0.345	  0.435
  1.258	  0.345	  0.425
  1.266	  0.325	  0.415
  1.273	  0.325	  0.405
  1.281	  0.315	  0.405
  1.289	  0.315	  0.405
  1.297	  0.295	  0.385
  1.305	  0.295	  0.375
  1.312	  0.295	  0.375
  1.320	  0.285	  0.375
  1.328	  0.275	  0.365
  1.336	  0.265	  0.355
  1.344	  0.265	  0.345
  1.352	  0.265	  0.345
  1.359	  0.245	  0.345
  1.367	  0.245	  0.325
  1.375	  0.245	  0.325
  1.383	  0.235	  0.325
  1.391	  0.225	  0.305
  1.398	  0.215	  0.305
  1.406	  0.215	  0.295
  1.414	  0.205	  0.295
  1.422	  0.205	  0.285
  1.430	  0.195	  0.275
  1.438	  0.195	  0.265
  1.445	  0.175	  0.265
  1.453	  0.165	  0.255
  1.461	  0.145	  0.235
  1.469	  0.075	  0.255
  1.477	 -0.905	 -0.745
  1.484	 -0.855	 -0.715
  1.492	 -0.845	 -0.705
  1.500	 -0.835	 -0.695
  1.508	 -0.835	 -0.685
  1.516	 -0.835	 -0.685
  1.523	 -0.815	 -0.675
  1.531	 -0.815	 -0.665
  1.539	 -0.805	 -0.645
  1.547	 -0.795	 -0.645
  1.555	 -0.785	 -0.645
  1.562	 -0.775	 -0.625
  1.570	 -0.765	 -0.605
  1.578	 -0.755	 -0.595
  1.586	 -0.735	 -0.595
  1.594	 -0.735	 -0.585
  1.602	 -0.715	 -0.575
  1.609	 -0.705	 -0.565
  1.617	 -0.705	 -0.555
  1.625	 -0.685	 -0.545
  1.633	 -0.685	 -0.535
  1.641	 -0.675	 -0.535
  1.648	 -0.655	 -0.525
  1.656	 -0.655	 -0.515
  1.664	 -0.645	 -0.505
  1.672	 -0.635	 -0.495
  1.680	 -0.625	 -0.485
  1.688	 -0.615	 -0.485
  1.695	 -0.605	 -0.465
  1.703	 -0.595	 -0.465
  1.711	 -0.585	 -0.455
  1.719	 -0.585	 -0.445
  1.727	 -0.565	 -0.435
  1.734	 -0.565	 -0.435
  1.742	 -0.545	 -0.425
  1.750	 -0.535	 -0.415
  1.758	 -0.535	 -0.405
  1.766	 -0.525	 -0.395
  1.773	 -0.515	 -0.395
  1.781	 -0.505	 -0.385
  1.789	 -0.495	 -0.375
  1.797	 -0.485	 -0.375
  1.805	 -0.475	 -0.365
  1.812	 -0.465	 -0.355
  1.820	 -0.455	 -0.355
  1.828	 -0.455	 -0.345
  1.836	 -0.445	 -0.335
  1.844	 -0.435	 -0.335
  1.852	 -0.435	 -0.325
  1.859	 -0.425	 -0.315
  1.867	 -0.415	 -0.315
  1.875	 -0.405	 -0.305
  1.883	 -0.395	 -0.295
  1.891	 -0.395	 -0.295
  1.898	 -0.375	 -0.295
  1.906	 -0.365	 -0.285
  1.914	 -0.375	 -0.275
  1.922	 -0.365	 -0.275
  1.930	 -0.345	 -0.275
  1.938	 -0.335	 -0.265
  1.945	 -0.335	 -0.255
  1.953	 -0.325	 -0.245
  1.961	 -0.295	 -0.235
  1.969	 -0.095	 -0.245
  1.977	  0.795	  0.805
  1.984	  0.715	  0.745
  1.992	  0.705	  0.725
  2.000	  0.695	  0.715
  2.008	  0.685	  0.705
  2.016	  0.675	  0.695
  2.023	  0.675	  0.685
  2.031	  0.665	  0.675
  2.039	  0.645	  0.665
  2.047	  0.635	  0.655
  2.055	  0.625	  0.635
  2.062	  0.615	  0.635
  2.070	  0.615	  0.625
  2.078	  0.595	  0.615
  2.086	  0.585	  0.605
  2.094	  0.575	  0.595
  2.102	  0.565	  0.585
  2.109	  0.545	  0.575
  2.117	  0.545	  0.565
  2.125	  0.535	  0.555
  2.133	  0.525	  0.545
  2.141	  0.515	  0.535
  2.148	  0.505	  0.525
  2.156	  0.495	  0.525
  2.164	  0.485	  0.515
  2.172	  0.475	  0.505
  2.180	  0.475	  0.495
  2.188	  0.465	  0.485
  2.195	  0.455	  0.485
  2.203	  0.445	  0.475
  2.211	  0.435	  0.465
  2.219	  0.425	  0.455
  2.227	  0.425	  0.455
  2.234	  0.405	  0.445
  2.242	  0.405	  0.435
  2.250	  0.405	  0.425
  2.258	  0.395	  0.425
  2.266	  0.375	  0.415
  2.273	  0.365	  0.405
  2.281	  0.365	  0.395
  2.289	  0.355	  0.395
  2.297	  0.345	  0.375
  2.305	  0.345	  0.375
  2.312	  0.335	  0.375
  2.320	  0.325	  0.375
  2.328	  0.315	  0.355
  2.336	  0.315	  0.355
  2.344	  0.305	  0.345
  2.352	  0.295	  0.345
  2.359	  0.285	  0.335
  2.367	  0.275	  0.325
  2.375	  0.265	  0.325
  2.383	  0.265	  0.315
  2.391	  0.255	  0.305
  2.398	  0.255	  0.305
  2.406	  0.235	  0.295
  2.414	  0.235	  0.295
  2.422	  0.225	  0.295
  2.430	  0.225	  0.285
  2.438	  0.215	  0.275
  2.445	  0.205	  0.265
  2.453	  0.185	  0.255
  2.461	  0.165	  0.235
  2.469	 -0.205	  0.215
  2.477	 -0.935	 -0.765
  2.484	 -0.865	 -0.725
  2.492	 -0.845	 -0.705
  2.500	 -0.835	 -0.695
  2.508	 -0.825	 -0.685
  2.516	 -0.815	 -0.685
  2.523	 -0.795	 -0.675
  2.531	 -0.775	 -0.655
  2.539	 -0.775	 -0.645
  2.547	 -0.765	 -0.635
  2.555	 -0.755	 -0.625
  2.562	 -0.735	 -0.615
  2.570	 -0.725	 -0.605
  2.578	 -0.725	 -0.595
  2.586	 -0.705	 -0.585
  2.594	 -0.695	 -0.575
  2.602	 -0.685	 -0.565
  2.609	 -0.675	 -0.555
  2.617	 -0.655	 -0.545
  2.625	 -0.655	 -0.535
  2.633	 -0.635	 -0.525
  2.641	 -0.635	 -0.525
  2.648	 -0.625	 -0.515
  2.656	 -0.615	 -0.505
  2.664	 -0.595	 -0.485
  2.672	 -0.595	 -0.485
  2.680	 -0.585	 -0.485
  2.688	 -0.585	 -0.475
  2.695	 -0.575	 -0.465
  2.703	 -0.565	 -0.455
  2.711	 -0.555	 -0.445
  2.719	 -0.545	 -0.445
  2.727	 -0.545	 -0.425
  2.734	 -0.535	 -0.425
  2.742	 -0.535	 -0.425
  2.750	 -0.525	 -0.415
  2.758	 -0.515	 -0.395
  2.766	 -0.505	 -0.395
  2.773	 -0.505	 -0.385
  2.781	 -0.495	 -0.385
  2.789	 -0.485	 -0.365
  2.797	 -0.475	 -0.355
  2.805	 -0.465	 -0.355
  2.812	 -0.465	 -0.345
  2.820	 -0.455	 -0.335
  2.828	 -0.445	 -0.335
  2.836	 -0.435	 -0.325
  2.844	 -0.425	 -0.315
  2.852	 -0.415	 -0.305
  2.859	 -0.415	 -0.295
  2.867	 -0.405	 -0.295
  2.875	 -0.395	 -0.295
  2.883	 -0.395	 -0.285
  2.891	 -0.385	 -0.285
  2.898	 -0.375	 -0.285
  2.906	 -0.365	 -0.275
  2.914	 -0.355	 -0.275
  2.922	 -0.355	 -0.265
  2.930	 -0.345	 -0.265
  2.938	 -0.335	 -0.265
  2.945	 -0.325	 -0.255
  2.953	 -0.325	 -0.245
  2.961	 -0.295	 -0.235
  2.969	 -0.235	 -0.255
  2.977	  0.815	  0.725
  2.984	  0.735	  0.725
  2.992	  0.715	  0.695
  3.000	  0.705	  0.685
  3.008	  0.705	  0.685
  3.016	  0.695	  0.675
  3.023	  0.685	  0.665
  3.031	  0.665	  0.655
  3.039	  0.665	  0.655
  3.047	  0.645	  0.645
  3.055	  0.635	  0.635
  3.062	  0.625	  0.625
  3.070	  0.615	  0.615
  3.078	  0.605	  0.605
  3.086	  0.595	  0.595
  3.094	  0.585	  0.585
  3.102	  0.575	  0.575
  3.109	  0.565	  0.575
  3.117	  0.555	  0.555
  3.125	  0.555	  0.545
  3.133	  0.545	  0.535
  3.141	  0.525	  0.525
  3.148	  0.515	  0.515
  3.156	  0.505	  0.505
  3.164	  0.495	  0.495
  3.172	  0.485	  0.485
  3.180	  0.485	  0.485
  3.188	  0.475	  0.475
  3.195	  0.465	  0.465
  3.203	  0.445	  0.455
  3.211	  0.445	  0.455
  3.219	  0.435	  0.445
  3.227	  0.435	  0.435
  3.234	  0.415	  0.425
  3.242	  0.415	  0.415
  3.250	  0.405	  0.415
  3.258	  0.395	  0.405
  3.266	  0.385	  0.395
  3.273	  0.385	  0.385
  3.281	  0.375	  0.385
  3.289	  0.355	  0.375
  3.297	  0.355	  0.365
  3.305	  0.345	  0.365
  3.312	  0.335	  0.365
  3.320	  0.335	  0.355
  3.328	  0.315	  0.335
  3.336	  0.315	  0.335
  3.344	  0.305	  0.335
  3.352	  0.295	  0.325
  3.359	  0.285	  0.315
  3.367	  0.275	  0.315
  3.375	  0.275	  0.305
  3.383	  0.265	  0.305
  3.391	  0.255	  0.295
  3.398	  0.255	  0.285
  3.406	  0.245	  0.285
  3.414	  0.235	  0.275
  3.422	  0.225	  0.265
  3.430	  0.225	  0.255
  3.438	  0.215	  0.255
  3.445	  0.205	  0.245
  3.453	  0.185	  0.235
  3.461	  0.155	  0.215
  3.469	 -0.735	 -0.205
  3.477	 -0.905	 -0.775
  3.484	 -0.855	 -0.735
  3.492	 -0.835	 -0.715
  3.500	 -0.815	 -0.705
  3.508	 -0.805	 -0.705
  3.516	 -0.805	 -0.695
  3.523	 -0.795	 -0.685
  3.531	 -0.785	 -0.675
  3.539	 -0.775	 -0.665
  3.547	 -0.775	 -0.665
  3.555	 -0.755	 -0.655
  3.562	 -0.745	 -0.645
  3.570	 -0.735	 -0.625
  3.578	 -0.725	 -0.615
  3.586	 -0.715	 -0.605
  3.594	 -0.705	 -0.605
  3.602	 -0.695	 -0.585
  3.609	 -0.685	 -0.575
  3.617	 -0.675	 -0.565
  3.625	 -0.675	 -0.555
  3.633	 -0.655	 -0.545
  3.641	 -0.655	 -0.545
  3.648	 -0.635	 -0.535
  3.656	 -0.635	 -0.525
  3.664	 -0.615	 -0.515
  3.672	 -0.615	 -0.505
  3.680	 -0.605	 -0.495
  3.688	 -0.595	 -0.485
  3.695	 -0.585	 -0.475
  3.703	 -0.575	 -0.465
  3.711	 -0.565	 -0.465
  3.719	 -0.555	 -0.465
  3.727	 -0.545	 -0.455
  3.734	 -0.545	 -0.445
  3.742	 -0.525	 -0.445
  3.750	 -0.525	 -0.435
  3.758	 -0.505	 -0.415
  3.766	 -0.505	 -0.405
  3.773	 -0.495	 -0.405
  3.781	 -0.495	 -0.395
  3.789	 -0.485	 -0.385
  3.797	 -0.475	 -0.375
  3.805	 -0.465	 -0.375
  3.812	 -0.455	 -0.365
  3.820	 -0.455	 -0.355
  3.828	 -0.445	 -0.355
  3.836	 -0.435	 -0.355
  3.844	 -0.435	 -0.345
  3.852	 -0.425	 -0.335
  3.859	 -0.415	 -0.325
  3.867	 -0.405	 -0.325
  3.875	 -0.405	 -0.325
  3.883	 -0.395	 -0.305
  3.891	 -0.385	 -0.305
  3.898	 -0.375	 -0.305
  3.906	 -0.375	 -0.295
  3.914	 -0.365	 -0.285
  3.922	 -0.365	 -0.275
  3.930	 -0.345	 -0.285
  3.938	 -0.335	 -0.275
  3.945	 -0.335	 -0.265
  3.953	 -0.325	 -0.245
  3.961	 -0.305	 -0.245
  3.969	 -0.285	 -0.225
  3.977	  0.775	  0.665
  3.984	  0.745	  0.755
  3.992	  0.715	  0.715
